@relation covid_cases

@attribute id numeric
@attribute Date date 'yyyy-MM-dd'
@attribute phu_name {'ALGOMA DISTRICT','BRANT COUNTY','CHATHAM-KENT','CITY OF HAMILTON','CITY OF OTTAWA','DURHAM REGION','EASTERN ONTARIO','GREY BRUCE','HALDIMAND-NORFOLK','HALIBURTON, KAWARTHA, PINE RIDGE','HALTON REGION','HASTINGS & PRINCE EDWARD COUNTIES','HURON PERTH','KINGSTON, FRONTENAC, LENNOX & ADDINGTON','LAMBTON COUNTY','LEEDS, GRENVILLE AND LANARK DISTRICT',MIDDLESEX-LONDON,'NIAGARA REGION','NORTH BAY PARRY SOUND DISTRICT','NORTHWESTERN','OXFORD ELGIN-ST.THOMAS','PEEL REGION','PETERBOROUGH COUNTY-CITY','PORCUPINE','RENFREW COUNTY AND DISTRICT','SIMCOE MUSKOKA DISTRICT','SOUTHWESTERN','SUDBURY AND DISTRICT','THUNDER BAY DISTRICT','TIMISKAMING','TORONTO','UNKNOWN','WATERLOO REGION','WELLINGTON-DUFFERIN-GUELPH','WINDSOR-ESSEX COUNTY','YORK REGION'}
@attribute phu_num numeric
@attribute active_cases numeric
@attribute resolved_cases numeric
@attribute deaths numeric

@data
150,2020-04-05,'KINGSTON, FRONTENAC, LENNOX & ADDINGTON',2241,30,22,0
151,2020-04-05,'LAMBTON COUNTY',2242,55,13,7
152,2020-04-05,'LEEDS, GRENVILLE AND LANARK DISTRICT',2243,37,13,3
153,2020-04-05,'MIDDLESEX-LONDON',2244,91,22,5
154,2020-04-05,'NIAGARA REGION',2246,78,47,6
155,2020-04-05,'NORTH BAY PARRY SOUND DISTRICT',2247,1,3,0
156,2020-04-05,'NORTHWESTERN',2249,1,3,0
157,2020-04-05,'OXFORD ELGIN-ST.THOMAS',4913,11,5,2
158,2020-04-05,'PEEL REGION',2253,350,125,4
159,2020-04-05,'PETERBOROUGH COUNTY-CITY',2255,23,18,0
160,2020-04-05,'PORCUPINE',2256,19,10,0
161,2020-04-05,'RENFREW COUNTY AND DISTRICT',2257,4,2,1
162,2020-04-05,'SIMCOE MUSKOKA DISTRICT',2260,46,29,4
163,2020-04-05,'SUDBURY AND DISTRICT',2261,13,12,1
164,2020-04-05,'THUNDER BAY DISTRICT',2262,11,2,0
165,2020-04-05,'TIMISKAMING',2263,1,2,0
166,2020-04-05,'TORONTO',3895,535,381,25
167,2020-04-05,'WATERLOO REGION',2265,83,63,2
168,2020-04-05,'WELLINGTON-DUFFERIN-GUELPH',2266,63,20,1
169,2020-04-05,'WINDSOR-ESSEX COUNTY',2268,117,23,2
170,2020-04-05,'YORK REGION',2270,268,141,14
171,2020-04-06,'ALGOMA DISTRICT',2226,5,3,0
172,2020-04-06,'BRANT COUNTY',2227,21,29,1
173,2020-04-06,'CHATHAM-KENT',2240,4,7,1
174,2020-04-06,'CITY OF HAMILTON',2237,70,90,3
175,2020-04-06,'CITY OF OTTAWA',2251,199,160,3
